metric_name,metric_value,file,function
Decision Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Condition Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Independent Condition Evaluation,2.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Decision Nodes,1.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Condition Nodes,5.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Covered Decisions,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Covered Conditions,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Decision Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Condition Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Independent Condition Evaluation,5.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Decision Count,4.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_pymcdc_json.py,
Condition Count,16.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_pymcdc_json.py,
Covered Requirements,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_pymcdc_json.py,
